"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","351135.0","346800.0","24731293.59","1048282.63536254","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","384000.0","384000.0","23897812.66","1012953.97038004","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","194440.0","192000.0","23837654.02","1010404.03268877","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Turkey","","","990014.0","988000.0","22580712.26","957126.179839099","0.0","0.0"
"2017","01","1071 100","06031900","--Other cut flowers","Netherlands","","","235999.4","207714.48","22443689.04","951318.1916057","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Arab Emirates","","","228097.5","224100.0","22234958.38","942470.747959071","0.0","0.0"
"2017","01","1000 100","09041100","Dried pepper (excl. crushed or ground)","Sudan","","","327619.0","326700.0","21919699.52","929107.905155094","0.0","0.0"
"2017","01","1000 100","12079990","--OTHER","United States","","","1094184.0","1092000.0","20975653.55","889092.731919872","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","China","","","135047.25","133380.0","18766602.36","795457.920838243","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","15077300.0","UN","64992.0","48744.0","18093575.46","766930.403268877","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Yemen","","","869736.0","868000.0","17889051.69","758261.276608371","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Russian Federation","","","1096234.4","1094000.0","17544688.57","743664.794720289","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Netherlands","","","143737.75","141900.0","17434944.7","739013.093310501","0.0","0.0"
"2017","01","1000 100","07133900","Dried beans, shelled, nes","Viet Nam","","","722160.0","720000.0","16166147.04","685232.705724773","0.0","0.0"
"2017","01","1071 100","17031000","Cane molasses resulting from the extraction or refining of sugar","Djibouti","","","7050000.0","7050000.0","16159609.34","684955.592950212","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","United Kingdom","","","201688.0","177480.44","15735552.05","666981.122998279","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","South Africa","","","864774.0","863000.0","15031804.38","637151.447512313","0.0","0.0"
"2017","01","3052 505","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","China","41381.0","2UN","34476.49","19000.1","14814436.74","627937.909139461","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Turkey","","","889776.0","888000.0","14665249.82","621614.339485084","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","838674.0","837000.0","14631592.92","620187.728147439","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","Saudi Arabia","","","185255.5","163018.98","14271989.04","604945.237832843","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Finland","","","112753.5","111360.0","14152395.55","599876.041657836","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","116640.0","115200.0","14102573.99","597764.260645468","0.0","0.0"
"2017","01","1071 100","01041000","LIVE SHEEP","Saudi Arabia","10000.0","UN","250000.0","250000.0","13594989.6","576249.336645162","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","6604051.0","UN","32941.0","24704.0","12855063.46","544886.168309865","0.0","0.0"
"2017","01","1071 100","12019000","-OTHER","Viet Nam","","","1322640.0","1320000.0","12693399.4","538033.731487526","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Viet Nam","","","571140.0","570000.0","12074427.8","511797.450004663","0.0","0.0"
"2017","01","1071 100","07020000","Tomatoes fresh or chilled","Somalia","","","1768621.0","1475760.0","12045998.13","510592.404693077","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Jordan","","","456987.7","455912.0","11848984.61","502241.614177567","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","116688.0","115200.0","11714584.67","496544.818626495","0.0","0.0"
"2017","01","1000 100","25232900","--other","Djibouti","","","4739382.05","4733100.0","11500057.04","487451.659446766","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Belgium","11414912.0","UN","25460.0","23252.0","10093176.32","427818.360305525","0.0","0.0"
"2017","01","3052 505","64052000","-With upper of textile materials","Sierra Leone","207090.0","2UN","71095.0","67343.0","9781450.47","414605.270809844","0.0","0.0"
"2017","01","3052 505","41139000","-OTHER","China","","","59047.0","57868.0","9759926.25","413692.926051831","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Canada","","","380760.0","380000.0","9501516.2","402739.727537067","0.0","0.0"
"2017","01","3052 505","63022100","Printed bed-linen of cotton (excl. knitted or crocheted)","Germany","","","93580.5","87715.5","9332962.17","395595.246310221","0.0","0.0"
