"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"1999","09011100","Coffee, not roasted or decaffeinated","United Germany","","","30484680.0","605460158.5","76238105.0"
"1999","09011100","Coffee, not roasted or decaffeinated","Japan","","","24576889.0","443209640.2","55807905.13"
"1999","09011100","Coffee, not roasted or decaffeinated","Saudi Arabia","","","17616500.0","381272160.0","48008884.75"
"1999","14049000","Vegetable products, nes","Djibouti","","","5648516.0","300612235.2","37852378.61"
"1999","14049000","Vegetable products, nes","Somalia","","","8393835.0","202703217.0","25523907.6"
"1999","09011100","Coffee, not roasted or decaffeinated","France","","","8527440.0","154506856.2","19455136.33"
"1999","09011100","Coffee, not roasted or decaffeinated","Italy","","","5065560.0","116754712.1","14701476.02"
"1999","09011100","Coffee, not roasted or decaffeinated","United States","","","4789560.0","111995989.9","14102269.02"
"1999","09011100","Coffee, not roasted or decaffeinated","Belgium","","","5949900.0","105254898.5","13253446.81"
"1999","12074000","Sesamum seeds","Egypt","","","13211418.0","89577040.0","11279328.1"
"1999","12074000","Sesamum seeds","Israel","","","11269794.0","69277845.17","8723301.71"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Italy","","","1437700.0","55674165.0","7010358.61"
"1999","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","7777218.0","47483666.54","5979030.5"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Great Britain","","","625106.0","44857099.0","5648299.36"
"1999","81031000","Unwrought tantalum (incl. Bars and rods); waste and scrap... Of tantalum","Singapore","","","64908.0","41514034.0","5227348.55"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","Algeria","","","9954804.0","35249120.0","4438485.46"
"1999","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Italy","","","1296340.0","28556923.57","3595819.98"
"1999","52030000","Cotton, carded or combed","Pakistan","","","3119700.0","27529315.0","3466425.95"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Indonesia","","","419534.0","26320374.0","3314198.98"
"1999","09011100","Coffee, not roasted or decaffeinated","Poland","","","1710000.0","26167832.0","3294991.25"
"1999","09011100","Coffee, not roasted or decaffeinated","Canada","","","1240800.0","25613371.4","3225174.89"
"1999","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","1381362.0","22393093.0","2819685.08"
"1999","71081300","Semi-manufactured gold (incl. Gold plated with platinum), non-monetary","Switzerland","","","352.0","21871828.0","2754048.63"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","Yemen","","","5495058.0","19940796.0","2510897.67"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","Netherlands","","","5066684.0","17382431.0","2188754.42"
"1999","09011100","Coffee, not roasted or decaffeinated","Netherlands","","","1044000.0","16469541.0","2073805.48"
"1999","09011100","Coffee, not roasted or decaffeinated","Israel","","","1098000.0","16055623.4","2021685.96"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","United Germany","","","4254700.0","14327059.16","1804029.26"
"1999","09011100","Coffee, not roasted or decaffeinated","Sweden","","","684000.0","13398336.09","1687086.66"
"1999","09011100","Coffee, not roasted or decaffeinated","Finland","","","547200.0","13326890.0","1678090.33"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Malaysia","","","187221.0","13234837.0","1666499.24"
"1999","10089000","Other cereal, nes","Israel","","","1482434.0","12819997.0","1614263.57"
"1999","09011100","Coffee, not roasted or decaffeinated","Great Britain","","","743760.0","12693486.0","1598333.61"
"1999","14049000","Vegetable products, nes","Great Britain","","","49797.0","12041050.0","1516180.41"
"1999","81031000","Unwrought tantalum (incl. Bars and rods); waste and scrap... Of tantalum","Belgium","","","19977.0","11785175.0","1483961.24"
"1999","41090000","Patent leather and patent laminated leather; metallized leather","Great Britain","","","142482.0","11472676.0","1444612.11"
"1999","09011100","Coffee, not roasted or decaffeinated","Yemen","","","432000.0","10823122.0","1362821.81"
"1999","41090000","Patent leather and patent laminated leather; metallized leather","Italy","","","113300.0","10081149.0","1269394.34"
"1999","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Italy","","","400516.0","9365957.0","1179339.06"
"1999","09011100","Coffee, not roasted or decaffeinated","Switzerland","","","432000.0","9096649.73","1145428.53"
"1999","09011100","Coffee, not roasted or decaffeinated","Spain","","","516000.0","8913201.99","1122329.22"
"1999","12079900","Other oil seeds and oleaginous fruits, nes","Netherlands","","","1399982.0","8742500.03","1100834.84"
"1999","09101000","Ginger","Yemen","","","1652020.0","8668985.0","1091578.0"
"1999","12074000","Sesamum seeds","Japan","","","1451005.0","8609991.0","1084149.62"
"1999","09011100","Coffee, not roasted or decaffeinated","Australia","","","468300.0","8582099.0","1080637.52"
"1999","09011100","Coffee, not roasted or decaffeinated","Jordan","","","540000.0","8526082.0","1073583.99"
"1999","09011100","Coffee, not roasted or decaffeinated","United Arab Emirates","","","486000.0","8192114.03","1031531.54"
"1999","07019000","Other potatoes, fresh or chilled","Djibouti","","","4225283.0","7935548.8","999225.46"
"1999","09011100","Coffee, not roasted or decaffeinated","Denmark","","","468000.0","7770508.0","978443.91"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","India","","","159136.0","7250041.0","912907.94"
"1999","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","436719.0","6863075.0","864182.1"
"1999","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Italy","","","910134.0","6788964.75","854850.32"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","France","","","1951268.0","6575869.0","828017.8"
"1999","09011100","Coffee, not roasted or decaffeinated","Hungary","","","414000.0","6251349.0","787155.02"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Thailand","","","62042.0","6176704.0","777755.9"
"1999","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","United Germany","","","417700.0","5635773.2","709643.17"
"1999","09011100","Coffee, not roasted or decaffeinated","Greece","","","339000.0","5143426.0","647647.98"
"1999","08051000","Oranges, fresh or dried","Djibouti","","","1812854.0","5080949.58","639781.1"
"1999","07082000","Beans, fresh or chilled","Italy","","","1396222.0","5028391.0","633163.05"
"1999","01041000","Live sheep","Yemen","22703.0","No.","575612.0","4880422.0","614531.15"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","Belgium","","","1397040.0","4752257.0","598392.91"
"1999","12074000","Sesamum seeds","Jordan","","","718284.0","4699784.29","591785.67"
"1999","52030000","Cotton, carded or combed","India","","","833588.0","4653675.0","585979.7"
"1999","12074000","Sesamum seeds","Saudi Arabia","","","791146.0","4620145.0","581757.68"
"1999","07031000","Onions and shallots, fresh or chilled","Djibouti","","","2508766.0","4608004.0","580228.92"
"1999","07020000","Tomatoes fresh or chilled","Djibouti","","","2056432.0","4599509.07","579159.26"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Japan","","","51804.0","4146929.0","522171.45"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","China","","","35763.0","3959850.0","498614.91"
"1999","07082000","Beans, fresh or chilled","Netherlands","","","1115161.0","3796361.0","478028.76"
"1999","09011100","Coffee, not roasted or decaffeinated","Korea, Republic Of","","","201000.0","3794338.0","477774.03"
"1999","12079900","Other oil seeds and oleaginous fruits, nes","Singapore","","","733853.0","3753291.0","472605.49"
"1999","15219090","--- other beeswax , insect waxes","Japan","","","123941.0","3734460.0","470234.33"
"1999","87163100","Tanker trailers and tanker semi-trailers","Saudi Arabia","20.0","No.","178000.0","3628772.0","456926.35"
"1999","09011100","Coffee, not roasted or decaffeinated","Taiwan Province of China","","","229500.0","3574327.0","450070.77"
"1999","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","China","","","583000.0","3417948.0","430379.89"
"1999","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Saudi Arabia","","","163000.0","3378029.0","425353.39"
"1999","07099000","Other vegetables, fresh or chilled, nes","Djibouti","","","2505266.0","3189558.0","401621.57"
"1999","52030000","Cotton, carded or combed","Thailand","","","454417.0","2960904.0","372830.0"
"1999","05100090","--- ambergris ,castoreum,civet and musk;cantharides ;etc","France","","","785.0","2644017.0","332928.34"
"1999","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","United Arab Emirates","","","151050.0","2610463.0","328703.3"
"1999","17011100","Raw cane sugar, in solid form","Kenya","","","1189200.0","2567136.04","323247.67"
"1999","10089000","Other cereal, nes","United States","","","267000.0","2400320.0","302242.59"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Romania","","","11387.0","2367813.0","298149.39"
"1999","61091000","T-shirts, singlets and other vests, of cotton, knitted or crocheted","Italy","533685.0","No.","44882.0","2323422.0","292559.78"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","Morocco","","","658840.0","2260982.0","284697.48"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Morocco","","","31115.0","2228186.0","280567.89"
"1999","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Hong Kong","","","462557.0","2226985.0","280416.66"
"1999","19059090","--- other bread ,rice paper ,cakes ,etc ,nes","Saudi Arabia","","","331327.0","2151515.0","270913.66"
"1999","09011100","Coffee, not roasted or decaffeinated","South Africa","","","108000.0","2081521.0","262100.18"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Spain","","","23637.0","2072870.0","261010.87"
"1999","07133300","Dried kidney beans, incl. White pea beans, shelled","Djibouti","","","454469.0","2043826.0","257353.72"
"1999","12074000","Sesamum seeds","Netherlands","","","320620.0","2036064.0","256376.34"
"1999","09103000","Turmeric (curcuma)","Yemen","","","374694.0","2000177.0","251857.54"
"1999","41090000","Patent leather and patent laminated leather; metallized leather","United Germany","","","20060.0","1980037.0","249321.56"
"1999","09041100","Dried pepper (excl. Crushed or ground)","United Arab Emirates","","","59100.0","1971952.0","248303.51"
"1999","15219090","--- other beeswax , insect waxes","United States","","","89968.0","1929186.0","242918.52"
"1999","32030000","Colouring matter of vegetable or animal origin, and preparations .....","United Germany","","","9675.0","1910568.0","240574.18"
"1999","08045000","Guavas, mangoes and mangosteens, fresh or dried","Djibouti","","","892123.0","1908209.0","240277.14"
"1999","01041000","Live sheep","Saudi Arabia","8000.0","No.","212400.0","1855429.0","233631.21"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","United Germany","","","24310.0","1802551.0","226972.94"
"1999","12149000","Other forage products, nes","Djibouti","","","2189470.0","1778636.0","223961.62"
"1999","14049000","Vegetable products, nes","United States","","","6344.0","1732646.99","218170.79"
"1999","13019000","Natural gums,resins,gum-resins,natural oleor'ins/balsams (excl. Gumarabi","Greece","","","133740.0","1721501.0","216767.32"
"1999","10059000","Maize (excl. Seed)","Djibouti","","","900040.0","1719037.0","216457.06"
"1999","09101000","Ginger","United Arab Emirates","","","287075.0","1708962.0","215188.44"
"1999","12089000","Other flours and meal of oil seeds or oleaginous fruit, nes","United States","","","215568.0","1594508.0","200776.66"
"1999","12079900","Other oil seeds and oleaginous fruits, nes","Djibouti","","","215568.0","1594119.0","200727.68"
"1999","52030000","Cotton, carded or combed","Viet Nam","","","301142.0","1576391.0","198495.41"
"1999","09011100","Coffee, not roasted or decaffeinated","Norway","","","54000.0","1455236.23","183239.89"
"1999","09093000","Seeds of cumin","Yemen","","","158612.0","1332222.0","167750.23"
"1999","12079900","Other oil seeds and oleaginous fruits, nes","Belgium","","","278210.0","1305767.0","164419.08"
"1999","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Finland","","","11915.0","1296042.0","163194.53"
"1999","09011100","Coffee, not roasted or decaffeinated","New Zealand","","","46200.0","1250346.0","157440.6"
"1999","08030000","Bananas, including plantains, fresh or dried","Djibouti","","","788310.0","1226315.03","154414.68"
"1999","12074000","Sesamum seeds","Yemen","","","200598.0","1205982.0","151854.39"
"1999","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. Lamb)","Saudi Arabia","","","67309.0","1189557.0","149786.19"
