"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2012","01","1000 100","12074000","Sesamum seeds","China","","","25471316.4","25420784.0","555550382.61","31096094.315892","0.0","0.0"
"2012","01","1000 100","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Switzerland","","","650.0","576.02","411786335.64","23049118.733208","0.0","0.0"
"2012","01","1071 100","07099000","Other vegetables, fresh or chilled, nes","Somalia","","","3118672.0","2712036.06","238786423.66","13365709.7248343","0.0","0.0"
"2012","01","1071 100","06031100","--Roses","Netherlands","78940790.0","","2722765.0","2485248.26","161690394.17","9050375.81553376","0.0","0.0"
"2012","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1261944.0","1242000.0","112160035.78","6277988.74820885","0.0","0.0"
"2012","01","1000 100","12074000","Sesamum seeds","Israel","","","4625208.0","4613542.0","103928920.71","5817264.50329124","0.0","0.0"
"2012","01","1071 100","01029010","---OX","Somalia","11994.0","UN","4196580.0","4193880.0","87678441.14","4907668.43207057","0.0","0.0"
"2012","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","713436.9","707416.48","63365841.12","3546807.33476625","0.0","0.0"
"2012","01","1071 100","12074000","Sesamum seeds","China","","","2855700.0","2850000.0","62297148.71","3486988.88982178","0.0","0.0"
"2012","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","675990.0","666000.0","60817614.39","3404174.18894412","0.0","0.0"
"2012","01","1071 100","07099000","Other vegetables, fresh or chilled, nes","Djibouti","","","459965.0","438032.11","57764163.87","3233261.90388232","0.0","0.0"
"2012","01","1000 100","12074000","Sesamum seeds","Turkey","","","2567546.0","2562416.0","55090854.27","3083627.43316765","0.0","0.0"
"2012","01","1000 100","12074000","Sesamum seeds","Saudi Arabia","","","1883077.1","1879340.0","43007513.79","2407280.68410801","0.0","0.0"
"2012","01","1071 100","01029010","---OX","Sudan","5789.0","UN","1252500.0","1252500.0","40329698.68","2257394.02427011","0.0","0.0"
"2012","01","1000 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","3167871.5","3154700.0","39653899.54","2219567.18722013","0.0","0.0"
"2012","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","465600.0","460800.0","37040714.81","2073298.11537256","0.0","0.0"
"2012","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","522878.25","517620.0","36964045.82","2069006.68435429","0.0","0.0"
"2012","01","1071 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","2477118.8","2431900.0","31040328.13","1737435.52581497","0.0","0.0"
"2012","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","219370.0","216600.0","28984044.18","1622338.13473939","0.0","0.0"
"2012","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","300355.0","298324.0","27521656.31","1540483.1805257","0.0","0.0"
"2012","01","1000 100","07132000","Dried chickpeas, shelled","Pakistan","","","2035887.0","2031804.0","25773681.57","1442642.9322273","0.0","0.0"
"2012","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of","","","232640.0","230400.0","23853892.8","1335185.6528748","0.0","0.0"
"2012","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Russian Federation","","","255150.0","252000.0","23119868.52","1294099.7514777","0.0","0.0"
"2012","01","1000 100","09101000","Ginger","Sudan","","","523216.0","521550.0","22390609.05","1253280.55313004","0.0","0.0"
"2012","01","1071 100","07082000","Beans, fresh or chilled","Netherlands","","","777385.0","651960.0","21872989.94","1224307.60455848","0.0","0.0"
