"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2014","01","1000 100","12074000","Sesamum seeds","China","","","13307561.3","13280950.0","601736176.97","29872325.5510435","0.0","0.0"
"2014","01","1000 100","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Switzerland","","","887.4","805.52","472033634.71","23433429.7101809","0.0","0.0"
"2014","01","1071 100","07099000","Other vegetables, fresh or chilled, nes","Somalia","","","3649360.0","3173728.19","312359919.62","15506658.1753013","0.0","0.0"
"2014","01","1000 100","12074090","--OTHER","China","","","6549021.9","6535950.0","298747613.61","14830894.855438","0.0","0.0"
"2014","01","1071 100","12074000","Sesamum seeds","China","","","5901780.0","5890000.0","265034661.02","13157263.8962251","0.0","0.0"
"2014","01","1071 100","06031100","--Roses","Netherlands","","","2688817.0","2363048.6","184001261.93","9134477.54770746","0.0","0.0"
"2014","01","1000 100","12074000","Sesamum seeds","Israel","","","3526989.4","3519807.0","161422927.73","8013608.67620485","0.0","0.0"
"2014","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1848560.0","1820000.0","124313458.12","6171362.52308426","0.0","0.0"
"2014","01","1071 100","01022910","---OX","Somalia","9727.0","UN","3413050.0","3413050.0","103046101.18","5115575.22885681","0.0","0.0"
"2014","01","1000 100","12074000","Sesamum seeds","Turkey","","","1827655.6","1824000.0","82418984.43","4091571.73643242","0.0","0.0"
"2014","01","1071 100","12074000","Sesamum seeds","Israel","","","1561116.0","1558000.0","75277400.64","3737038.09845311","0.0","0.0"
"2014","01","1071 100","01029010","---OX","Somalia","6709.0","UN","2342200.0","2342100.0","70962715.71","3522841.78150877","0.0","0.0"
"2014","01","1000 100","12074000","Sesamum seeds","Jordan","","","1503045.6","1500000.0","69193591.39","3435016.15351774","0.0","0.0"
