"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2008","01","1071 100","17011100","Raw cane sugar, in solid form","Portugal","","","18639755.0","18585000.0","125463560.68","12951478.3095218","0.0","0.0"
"2008","01","1071 100","14049000","Vegetable products, nes","Somalia","","","1696260.0","1488629.39","57101958.62","5894578.27029482","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1704882.0","1674000.0","55232981.48","5701645.62309026","0.0","0.0"
"2008","01","1071 100","12074000","Sesamum seeds","China","","","4376891.88","4368898.0","51874150.06","5354916.80361714","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Israel","","","3159244.0","3150808.0","44720655.87","4616468.72883805","0.0","0.0"
"2008","01","1071 100","06031000","Fresh cut flowers and buds","Netherlands","32018603.0","STM","1167785.0","1067445.0","39831148.23","4111729.72892064","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","1334253.0","1317600.0","39543593.05","4082045.69431828","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","China","","","2494282.0","2489000.0","33172974.55","3424413.09666364","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1171602.0","1152000.0","31484001.75","3250062.11805269","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Turkey","","","2055914.0","2052000.0","27446933.78","2833319.61557519","0.0","0.0"
"2008","01","1071 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","5648864.1","5628800.0","25509761.76","2633347.27888348","0.0","0.0"
"2008","01","1071 100","14049000","Vegetable products, nes","Djibouti","","","375196.16","357146.66","23634369.6","2439752.41555868","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Jordan","","","1332660.0","1330000.0","18864220.39","1947334.66739615","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","565095.0","558000.0","18027751.29","1860986.7959782","0.0","0.0"
"2008","01","1071 100","12074000","Sesamum seeds","Greece","","","1256508.0","1254000.0","17637884.58","1820741.24411595","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","656550.0","648000.0","17130109.34","1768324.11223057","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","503753.5","497400.0","15524769.26","1602606.45594186","0.0","0.0"
"2008","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","18583923.0","UN","69639.0","60490.0","15202617.39","1569351.03951606","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Greece","","","950760.0","950000.0","13639144.96","1407955.33900405","0.0","0.0"
"2008","01","1071 100","07082000","Beans, fresh or chilled","Netherlands","","","593378.0","529374.0","10807564.92","1115654.15393509","0.0","0.0"
"2008","01","1000 505","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","Italy","","","312277.0","306655.0","10788950.37","1113732.59249319","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","478421.2","473580.0","9968984.78","1029088.36196218","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","236880.0","234000.0","9221419.07","951917.898876868","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Russian Federation","","","364500.0","342000.0","9015712.45","930683.00953836","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","309915.0","306000.0","8825406.67","911037.933561814","0.0","0.0"
"2008","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Pakistan","","","666320.0","664770.0","8217860.63","848321.561441903","0.0","0.0"
"2008","01","1000 100","52030000","Cotton, carded or combed","United Arab Emirates","","","644577.0","633237.0","7740073.31","799000.052646792","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Swaziland","","","182250.0","180000.0","7568373.05","781275.605954249","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","218700.0","216000.0","7113350.48","734304.079610207","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","255135.0","252000.0","7012748.15","723919.001362623","0.0","0.0"
"2008","01","1000 505","41022100","Pickled skins of sheep or lambs, without wool, not tanned","India","","","136007.0","133344.0","6993018.25","721882.303451978","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","145920.0","144000.0","6490671.12","670025.509951276","0.0","0.0"
"2008","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","10992700.0","UN","8376.0","6282.0","6437145.36","664500.099099843","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","218700.0","216000.0","6184313.43","638400.510983566","0.0","0.0"
"2008","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Finland","","","200550.0","198000.0","6136634.41","633478.653274424","0.0","0.0"
"2008","01","1000 100","09011200","Decaffeinated coffee, not roasted","Sudan","","","290988.81","286680.0","6037907.69","623287.19237757","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Switzerland","","","475190.0","474240.0","5841963.73","603060.092699645","0.0","0.0"
"2008","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","United Arab Emirates","","","1110385.0","1108000.0","5802392.41","598975.184779916","0.0","0.0"
"2008","01","1000 100","07135000","Dried broad beans and horse beans, shelled","Egypt","","","1132268.0","1130000.0","5663376.69","584624.730572302","0.0","0.0"
"2008","01","1000 100","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Italy","","","81608.0","80850.9","5616426.91","579778.151581468","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Saudi Arabia","","","425529.2","424902.1","5447155.47","562304.429556528","0.0","0.0"
"2008","01","1000 505","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Italy","","","56169.0","55377.0","5376401.98","555000.617309439","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Singapore","","","380760.0","380000.0","5297238.0","546828.598563052","0.0","0.0"
"2008","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","864835.0","863668.0","5225115.18","539383.431744983","0.0","0.0"
"2008","01","1071 100","12074000","Sesamum seeds","Japan","","","380684.0","380000.0","5046422.37","520937.151085969","0.0","0.0"
"2008","01","1071 100","12074000","Sesamum seeds","Turkey","","","380798.0","380000.0","4931983.17","509123.70654059","0.0","0.0"
"2008","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","139980.0","139980.0","4367210.26","450822.76199521","0.0","0.0"
"2008","01","1000 505","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Malaysia","","","30366.0","29688.0","4338604.05","447869.771450987","0.0","0.0"
"2008","01","1071 100","52030000","Cotton, carded or combed","United Arab Emirates","","","349853.0","343885.0","4273579.21","441157.322033198","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Spain","","","91125.0","90000.0","4241063.53","437800.760797754","0.0","0.0"
"2008","01","1000 100","52030000","Cotton, carded or combed","Portugal","","","325650.0","319985.0","4057285.04","418829.49046164","0.0","0.0"
"2008","01","1000 100","07082000","Beans, fresh or chilled","Saudi Arabia","","","700000.0","698040.0","4056312.07","418729.051738376","0.0","0.0"
"2008","01","1071 100","44072900","OTHER TROPICAL WOOD SPEC'D IN SUBHDG.NOTE 1 TO CH44 SAWN LENGTHWSE>6MM NES","Sudan","","M3","1164090.0","1164090.0","4028592.09","415867.545833677","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","Yemen","","","297594.0","297000.0","4002120.06","413134.864563548","0.0","0.0"
"2008","01","1071 100","12074000","Sesamum seeds","Israel","","","304000.0","303392.0","3947041.72","407449.182426294","0.0","0.0"
"2008","01","1000 100","01029000","LIVE BOVINE ANIMALS, OTHER THAN CATTLE AND BUFFALO","Yemen","1760.0","UN","309250.0","309250.0","3930295.21","405720.456891568","0.0","0.0"
"2008","01","1000 505","12079900","Other oil seeds and oleaginous fruits, nes","Israel","","","194876.08","187254.0","3927530.09","405435.016310183","0.0","0.0"
"2008","01","1000 100","52030000","Cotton, carded or combed","Switzerland","","","309577.0","306507.0","3893676.71","401940.365637129","0.0","0.0"
"2008","01","1000 100","07134000","Dried lentils, shelled","India","","","661320.0","660000.0","3720943.16","384109.253447849","0.0","0.0"
"2008","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","3755570.0","UN","17129.0","15188.0","3666129.67","378450.911512098","0.0","0.0"
"2008","01","1000 505","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","Italy","","","19596.0","17951.0","3641614.99","375920.285531423","0.0","0.0"
"2008","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Egypt","","","656310.0","655000.0","3507067.94","362031.127673631","0.0","0.0"
"2008","01","1000 505","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","United Kingdom","","","12355.0","11905.0","3487820.57","360044.24085391","0.0","0.0"
"2008","01","1000 100","02041000","Fresh or chilled lamb carcasses and half carcasses","Saudi Arabia","","","117240.0","114420.0","3481973.25","359440.627838798","0.0","0.0"
"2008","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Morocco","","","576150.0","575000.0","3265179.41","337061.2158312","0.0","0.0"
"2008","01","1000 100","64061000","UPPERS AND PARTS THEREOF (EXCL. STIFFENERS)","Italy","","2UN","9432.0","8430.0","3262799.66","336815.556610785","0.0","0.0"
"2008","01","1000 505","41022100","Pickled skins of sheep or lambs, without wool, not tanned","China","","","29133.0","28635.0","3147740.15","324938.078082418","0.0","0.0"
"2008","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","11443121.0","UN","17132.0","13011.0","3125433.12","322635.345610703","0.0","0.0"
"2008","01","1071 100","17031000","Cane molasses resulting from the extraction or refining of sugar","Italy","","","952410.0","952410.0","2832259.49","292371.324015195","0.0","0.0"
"2008","01","1000 100","01061100","MAMMALS :PRIMATES","Djibouti","1554.0","UN","591500.0","591500.0","2826554.86","291782.440746552","0.0","0.0"
"2008","01","1000 100","64031900","SPORTS FOOTWEAR, WITH RUBBER, PLASTICS, LEATHER...SOLES, LEATHER UPPERS","Sudan","27768.0","2UN","46280.9","43966.0","2780547.24","287033.119993393","0.0","0.0"
"2008","01","1000 100","06031000","Fresh cut flowers and buds","Netherlands","1814575.0","STM","84393.0","77427.0","2755583.23","284456.110124701","0.0","0.0"
"2008","01","1000 100","12079900","Other oil seeds and oleaginous fruits, nes","China","","","190456.0","190000.0","2754711.96","284366.169791064","0.0","0.0"
"2008","01","1071 100","12074000","Sesamum seeds","Saudi Arabia","","","228440.0","227985.0","2750576.91","283939.312701297","0.0","0.0"
"2008","01","1071 100","07132000","Dried chickpeas, shelled","Sudan","","","605104.5","602100.0","2746372.0","283505.244033364","0.0","0.0"
"2008","01","1071 100","12074000","Sesamum seeds","Jordan","","","190380.0","190000.0","2739880.74","282835.157733917","0.0","0.0"
"2008","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Netherlands","","","438242.0","437000.0","2712148.98","279972.43579156","0.0","0.0"
"2008","01","1000 505","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","96600.0","96600.0","2693148.06","278010.989759683","0.0","0.0"
"2008","01","1000 505","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","Hong Kong","","","147945.0","145548.0","2666128.75","275221.813320671","0.0","0.0"
"2008","01","1000 100","12074000","Sesamum seeds","United Kingdom","","","190380.0","190000.0","2648562.49","273408.465810554","0.0","0.0"
"2008","01","1000 100","09101000","Ginger","India","","","420288.0","420000.0","2636290.11","272141.600256008","0.0","0.0"
"2008","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Canada","","","72945.0","72000.0","2602179.78","268620.424890577","0.0","0.0"
"2008","01","1000 100","74040000","Copper waste and scrap","United Arab Emirates","","","72000.0","64000.0","2558864.64","264149.04616401","0.0","0.0"
