"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"1998","15219090","--- other beeswax , insect waxes","Netherlands","","","87000.0","2365942.0","332491.36"
"1998","10059000","Maize (excl. Seed)","Djibouti","","","1701250.0","2339792.0","328816.44"
"1998","09101000","Ginger","Yemen","","","492750.0","2337075.0","328434.61"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Czechoslovakia","","","21081.0","2336397.0","328339.33"
"1998","15219090","--- other beeswax , insect waxes","United States","","","86100.0","2318687.0","325850.5"
"1998","32030000","Colouring matter of vegetable or animal origin, and preparations .....","United States","","","10000.0","2233199.0","313836.67"
"1998","09024000","Black tea fermented/partly fermented,flavoured or not,in packings of >=3","Djibouti","","","145714.0","2205864.0","309995.22"
"1998","07031000","Onions and shallots, fresh or chilled","Djibouti","","","1323744.0","2162871.0","303953.32"
"1998","09011100","Coffee, not roasted or decaffeinated","Korea, Republic Of","","","104400.0","2154005.0","302707.36"
"1998","01041000","Live sheep","Saudi Arabia","10000.0","No.","138000.0","2063580.0","289999.72"
"1998","08051000","Oranges, fresh or dried","Djibouti","","","828170.0","2051513.0","288303.92"
"1998","52030000","Cotton, carded or combed","Thailand","","","250203.0","2031296.0","285462.77"
"1998","09011100","Coffee, not roasted or decaffeinated","Norway","","","72000.0","1994739.0","280325.33"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","India","","","29060.0","1956168.0","274904.86"
"1998","09011100","Coffee, not roasted or decaffeinated","Egypt","","","109000.0","1915432.0","269180.13"
"1998","01029000","Live bovine animals, other than pure-bred breeding","Djibouti","926.0","No.","364973.0","1899343.0","266919.11"
"1998","07102200","Shelled or unshelled beans, frozen","Italy","","","601585.0","1837873.0","258280.59"
"1998","07020000","Tomatoes fresh or chilled","Djibouti","","","876510.0","1774606.0","249389.53"
"1998","09011100","Coffee, not roasted or decaffeinated","United Arab Emirates","","","72000.0","1671339.0","234877.17"
"1998","15219090","--- other beeswax , insect waxes","United Germany","","","149675.0","1665694.0","234083.87"
"1998","87164000","Trailers and semi-trailers, nes","Saudi Arabia","8.0","No.","182600.0","1597800.0","224542.57"
"1998","12079900","Other oil seeds and oleaginous fruits, nes","Netherlands","","","386649.0","1528036.0","214738.47"
"1998","09011100","Coffee, not roasted or decaffeinated","Djibouti","","","64000.0","1521800.0","213862.11"
"1998","06031000","Fresh cut flowers and buds","United Germany","","","85580.0","1500592.0","210881.7"
"1998","12074000","Sesamum seeds","United States","","","340515.0","1496550.0","210313.67"
"1998","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Great Britain","","","72839.0","1483566.0","208489.0"
"1998","12074000","Sesamum seeds","Great Britain","","","300000.0","1392576.0","195701.96"
"1998","09021000","Green tea,whether or not flavoured, in immediate packings","Djibouti","","","75000.0","1350206.0","189747.6"
"1998","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. Lamb)","Saudi Arabia","","","83561.0","1349775.0","189687.03"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Sweden","","","12712.0","1272347.0","178805.9"
"1998","19059090","--- other bread ,rice paper ,cakes ,etc ,nes","Saudi Arabia","","","211114.0","1270330.0","178522.44"
"1998","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Great Britain","","","35538.0","1231471.0","173061.5"
"1998","12079900","Other oil seeds and oleaginous fruits, nes","Italy","","","303821.0","1179585.0","165769.84"
"1998","41090000","Patent leather and patent laminated leather; metallized leather","Romania","","","3485.0","1124971.0","158094.8"
"1998","52082900","Bleached woven cotton fabrics, nes, with >=85% cotton","Belgium","","","67500.0","1112332.0","156318.61"
"1998","01041000","Live sheep","Yemen","2515.0","No.","131800.0","1050523.0","147632.45"
"1998","09011100","Coffee, not roasted or decaffeinated","New Zealand","","","35700.0","1012924.0","142348.58"
"1998","11029000","Other cereal flour, nes","Israel","","","154532.0","987108.0","138720.59"
"1998","12079900","Other oil seeds and oleaginous fruits, nes","Yemen","","","211837.0","957203.0","134517.97"
"1998","07102200","Shelled or unshelled beans, frozen","Netherlands","","","359820.0","949671.0","133459.48"
"1998","12073000","Castor oil seeds","Japan","","","179190.0","941435.0","132302.06"
"1998","07102200","Shelled or unshelled beans, frozen","United Germany","","","300840.0","920169.0","129313.5"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","Thailand","","","17921.0","908778.0","127712.7"
"1998","41051900","Sheep or lamb skin leather, (excl. Further prepared), nes","China","","","7766.0","907038.0","127468.17"
"1998","12074000","Sesamum seeds","China","","","199286.0","898118.0","126214.62"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","Belgium","","","318340.0","887612.0","124738.19"
"1998","08030000","Bananas, including plantains, fresh or dried","Djibouti","","","476784.0","885249.0","124406.11"
"1998","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","United Arab Emirates","","","60990.0","882089.0","123962.03"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","Djibouti","","","277036.0","876164.0","123129.37"
"1998","07133300","Dried kidney beans, incl. White pea beans, shelled","Israel","","","199700.0","873362.0","122735.6"
"1998","09011100","Coffee, not roasted or decaffeinated","Austria","","","36000.0","863454.0","121343.21"
"1998","68041000","Millstones and grindstones for milling, grinding or pulping","Israel","","","746.0","840010.0","118048.57"
"1998","02042100","Fresh or chilled sheep carcasses and half carcasses (excl. Lamb)","United Arab Emirates","","","44124.0","804792.0","113099.3"
"1998","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","Japan","","","10663.0","794256.0","111618.65"
"1998","41031000","Hides and skins of goats or kids, fresh or preserved, not tanned","France","","","18306.0","793009.0","111443.41"
"1998","05111000","Bovine semen","United States","","","532.0","782983.0","110034.43"
"1998","02045000","Fresh, chilled or frozen goat meat","Djibouti","","","49456.0","770410.0","108267.52"
"1998","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Netherlands","","","134166.0","769442.0","108131.48"
"1998","41042900","Other bovine and equine leather, tanned (excl. Leather of 41.08, 41.09)","Spain","","","50502.0","767907.0","107915.76"
"1998","94035090","--- other wooden furniture of a kind used in the bed room","Djibouti","242.0","No.","9765.0","756764.0","106349.81"
