"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2007","01","1000 100","01029000","LIVE BOVINE ANIMALS, OTHER THAN CATTLE AND BUFFALO","Sudan","2259.0","UN","451800.0","451800.0","3611419.77","399153.350575284","0.0","0.0"
"2007","01","1000 505","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Italy","","","35785.0","34954.0","3579472.69","395622.389115466","0.0","0.0"
"2007","01","1000 505","41019000","OTHER, RAW HIDES ,INCLUDING BUTTS,BENDS AND BELLIES","Italy","","","138140.0","135560.0","3514372.07","388427.121809963","0.0","0.0"
"2007","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","906672.0","904862.0","3398031.77","375568.572123302","0.0","0.0"
"2007","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","United Kingdom","","","8596.0","8207.0","3359430.3","371302.132033555","0.0","0.0"
"2007","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","125120.0","125120.0","3323302.92","367309.141549786","0.0","0.0"
"2007","01","1000 100","07132000","Dried chickpeas, shelled","Pakistan","","","643714.0","642428.0","3277033.99","362195.252937211","0.0","0.0"
"2007","01","1000 101","09041200","Pepper, crushed or ground","Germany","","","17520.0","16000.0","3193348.04","352945.83595831","0.0","0.0"
"2007","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","151816.75","150360.0","3002290.35","331829.122318379","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Italy","","","418558.0","417722.0","2937920.84","324714.66118461","0.0","0.0"
"2007","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Finland","","","109350.0","108000.0","2722501.32","300905.348320568","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Turks and Caicos Islands","","","380760.0","380000.0","2610241.85","288497.833703593","0.0","0.0"
"2007","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Morocco","","","588868.0","588000.0","2596011.12","286924.977618621","0.0","0.0"
"2007","01","1000 100","09011200","Decaffeinated coffee, not roasted","Sudan","","","124910.0","123900.0","2546015.2","281399.162218022","0.0","0.0"
"2007","01","1000 505","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","China","","","80558.0","79255.0","2510719.51","277498.094543365","0.0","0.0"
"2007","01","1071 100","06031000","Fresh cut flowers and buds","United Kingdom","1627505.0","STM","56771.0","52453.0","2454379.52","271271.098732275","0.0","0.0"
"2007","01","1000 100","01041000","LIVE SHEEP","Saudi Arabia","6880.0","UN","192640.0","192640.0","2433566.08","268970.686472805","0.0","0.0"
"2007","01","1000 100","12074000","Sesamum seeds","Jordan","","","342389.0","341696.0","2414968.13","266915.141969782","0.0","0.0"
