"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2010","01","1000 100","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Switzerland","","","539.5","471.7","168706652.37","11583415.3160081","0.0","0.0"
"2010","01","1071 100","07099020","---Fresh chat","Somalia","","","2908432.93","2543967.35","162686547.11","11170074.2977788","0.0","0.0"
"2010","01","1071 100","06031100","--Roses","Netherlands","83000923.0","","2784021.75","2513174.75","130660820.15","8971184.74029318","0.0","0.0"
"2010","01","1000 100","12074000","Sesamum seeds","Israel","","","6639382.8","6626060.0","120194219.78","8252546.93123691","0.0","0.0"
"2010","01","1000 100","12074000","Sesamum seeds","China","","","4701540.4","4692050.0","85939449.02","5900611.00758694","0.0","0.0"
"2010","01","1071 100","12074000","Sesamum seeds","China","","","3683261.2","3675600.0","68510602.73","4703944.71008274","0.0","0.0"
"2010","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","1176283.0","1161600.0","51056986.99","3505577.73970957","0.0","0.0"
"2010","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","876852.0","862000.0","37558968.92","2578802.49373477","0.0","0.0"
"2010","01","1071 100","07099020","---Fresh chat","Djibouti","","","406574.65","386963.79","35880340.4","2463547.6947372","0.0","0.0"
"2010","01","1000 100","12074000","Sesamum seeds","Jordan","","","1876329.2","1872000.0","33804404.82","2321013.75399087","0.0","0.0"
"2010","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","752145.0","742800.0","33293918.59","2285963.71931752","0.0","0.0"
"2010","01","1000 100","12074000","Sesamum seeds","Turkey","","","1732078.0","1728810.0","32077364.8","2202435.01665007","0.0","0.0"
"2010","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","536328.0","530400.0","30596946.56","2100789.35493838","0.0","0.0"
"2010","01","1000 100","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","3018561.0","3012535.0","25844922.38","1774514.90816712","0.0","0.0"
"2010","01","1071 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","3351721.5","3336900.0","24794178.22","1702370.71097532","0.0","0.0"
"2010","01","1071 100","01061910","---Camels","Egypt","4118.0","UN","1749740.0","1739660.0","23423564.85","1608264.2624189","0.0","0.0"
"2010","01","1071 100","07082000","Beans, fresh or chilled","Netherlands","","","939293.0","785685.72","21168810.76","1453452.62521885","0.0","0.0"
"2010","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","22584510.0","UN","98314.0","87172.0","20089551.48","1379350.57708813","0.0","0.0"
"2010","01","1000 100","07134000","Dried lentils, shelled","Turkey","","","1810614.0","1807000.0","19341216.56","1327969.82800645","0.0","0.0"
"2010","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","434220.0","413594.0","18494562.05","1269838.44622198","0.0","0.0"
"2010","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","312210.0","308400.0","16188393.93","1111496.7166741","0.0","0.0"
"2010","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","636030.25","629340.0","14775014.03","1014453.9139689","0.0","0.0"
"2010","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","303812.0","300000.0","13773683.45","945702.458031515","0.0","0.0"
"2010","01","1000 100","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","United Kingdom","","","37900.0","36159.0","13746727.93","943851.689381716","0.0","0.0"
"2010","01","1000 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","1789046.5","1781600.0","13197633.09","906150.783755021","0.0","0.0"
"2010","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","France","","","349920.0","345600.0","12878667.54","884250.577774726","0.0","0.0"
"2010","01","1000 100","07099020","---Fresh chat","United Kingdom","","","27673.64","23521.75","10521709.85","722421.631363933","0.0","0.0"
"2010","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","185925.0","183600.0","9357491.33","642486.273473171","0.0","0.0"
