"Year","HS Code","HS Description","Destination","Quantity","Unit","Net Mass (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","49209346.73","1000593405.0","113901829.9"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","37467630.0","740529928.1","84297691.22"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","25052690.0","496949283.4","56569863.9"
"2006","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Switzerland","","","3451.36","446331930.7","50807874.0"
"2006","14049000","Vegetable products, nes","Somalia","","","15853834.62","426665647.1","48569176.76"
"2006","12074000","Sesamum seeds","China","","","63156877.74","415905862.9","47344344.47"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","13760377.5","326103353.9","37121740.51"
"2006","14049000","Vegetable products, nes","Djibouti","","","4932658.26","283785287.4","32304493.88"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","14621914.68","282273653.8","32132418.16"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","9071400.0","225725354.1","25695283.17"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","France","","","10738185.0","209384637.4","23835149.45"
"2006","06031000","Fresh cut flowers and buds","Netherlands","191607770.0","No.","6177211.42","152208737.6","17326572.06"
"2006","12074000","Sesamum seeds","Israel","","","20817405.8","147158275.3","16751656.32"
"2006","12074000","Sesamum seeds","Turkey","","","14994466.0","94934386.52","10806787.54"
"2006","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","United Kingdom","","","416258.1","94247350.87","10728579.33"
"2006","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","4055238.0","88403737.88","10063375.86"
"2006","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Yemen","74867.0","No.","11690478.92","86729624.85","9872804.4"
"2006","17011100","Raw cane sugar, in solid form","Portugal","","","16490000.0","86091358.78","9800147.85"
"2006","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","Italy","","","1345885.0","85613040.87","9745698.87"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Netherlands","","","2899210.0","67348749.16","7666596.37"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","3176100.0","65850208.12","7496011.03"
"2006","18061000","Cocoa powder, containing added sugar or other sweetening matter","Netherlands","","","15568800.0","65786152.07","7488719.26"
"2006","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","Italy","","","1570845.6","62352511.41","7097853.25"
"2006","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","79553352.0","No.","309865.0","62339645.18","7096388.63"
"2006","12074000","Sesamum seeds","Djibouti","","","9403379.0","61237192.67","6970891.74"
"2006","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","China","","","2062003.5","60656561.06","6904795.96"
"2006","07102200","Shelled or unshelled beans, frozen","Netherlands","","","3125080.0","59647761.98","6789960.04"
"2006","12074000","Sesamum seeds","Yemen","","","9987513.7","58851719.67","6699343.14"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Djibouti","","","2722462.0","56488550.75","6430333.51"
"2006","07135000","Dried broad beans and horse beans, shelled","Sudan","","","22364986.0","54400576.59","6192650.47"
"2006","12074000","Sesamum seeds","Jordan","","","7730568.8","54391367.51","6191602.16"
"2006","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","2351910.0","46145605.94","5252951.83"
"2006","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Somalia","23333.0","No.","4338920.0","44361385.29","5049846.36"
"2006","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","11094496.32","42590494.54","4848258.28"
"2006","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Egypt","19475.0","No.","5139810.0","41200661.0","4690047.58"
"2006","07132000","Dried chickpeas, shelled","Pakistan","","","9209831.0","40932408.04","4659511.2"
"2006","26140000","Titanium ores and concentrates","China","","","100554.0","32483774.98","3697767.14"
"2006","06031000","Fresh cut flowers and buds","Germany","35925874.0","No.","1067181.1","31986883.86","3641203.9"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","7738605.75","31046358.24","3534139.84"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","1258400.0","30909851.01","3518600.64"
"2006","12074000","Sesamum seeds","Greece","","","4228526.0","30646463.09","3488618.06"
"2006","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Italy","","","395816.5","29805741.16","3392915.09"
"2006","02041000","Fresh or chilled lamb carcasses and half carcasses","Saudi Arabia","","","1160219.0","28896141.66","3289371.48"
"2006","12074000","Sesamum seeds","United Arab Emirates","","","4347817.0","27862987.32","3171763.1"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","1291140.0","27716605.03","3155099.78"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Canada","","","1151700.0","26795916.27","3050293.84"
"2006","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","United Kingdom","","","66241.35","25150920.4","2863036.92"
"2006","07132000","Dried chickpeas, shelled","United Arab Emirates","","","5675152.6","24910470.64","2835665.49"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Switzerland","","","1054800.0","24300811.26","2766265.35"
"2006","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","China","","","265433.7","22343121.92","2543413.2"
"2006","14049000","Vegetable products, nes","United Kingdom","","","72276.37","21615886.12","2460628.83"
"2006","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Sudan","13354.0","No.","2726170.0","21321374.01","2427103.26"
"2006","41053000","TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST)","Italy","","","264790.7","21116020.73","2403727.02"
"2006","12074000","Sesamum seeds","Canada","","","3153427.0","20591896.58","2344063.72"
"2006","64039900","FOOTWEAR WITH RUBBER... SOLES, LEATHER UPPERS, NOT COVERING THE ANKLE","Italy","223228.0","Pair","310052.0","20543900.05","2338600.07"
"2006","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","United Kingdom","","","114648.0","19608407.61","2232108.96"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","1082330.0","19580435.34","2228924.76"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","South Africa","","","5155872.0","19092139.8","2173339.99"
"2006","14049000","Vegetable products, nes","Kenya","","","60133.93","18450164.18","2100261.16"
"2006","41022100","Pickled skins of sheep or lambs, without wool, not tanned","India","","","198754.0","18448460.56","2100067.23"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Russian Federation","","","972000.0","18271558.16","2079929.67"
"2006","12074000","Sesamum seeds","Saudi Arabia","","","2760553.2","18228927.41","2075076.83"
"2006","02041000","Fresh or chilled lamb carcasses and half carcasses","United Arab Emirates","","","648809.0","17747747.09","2020302.01"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Spain","","","756000.0","17051548.24","1941050.72"
"2006","12074000","Sesamum seeds","Switzerland","","","2528722.0","16940129.8","1928367.48"
"2006","07011000","Seed potatoes","Djibouti","","","8734353.0","16876295.01","1921100.89"
"2006","07102200","Shelled or unshelled beans, frozen","Sudan","","","1777200.0","16621608.5","1892108.84"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","United Kingdom","","","5445034.0","16258403.71","1850763.68"
"2006","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","India","","","190447.0","16120756.41","1835094.7"
"2006","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","83818113.0","No.","164854.0","15981255.86","1819214.76"
"2006","52030000","Cotton, carded or combed","Indonesia","","","1606473.0","15964165.78","1817269.32"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","Italy","","","4667688.0","14551964.82","1656512.44"
"2006","41012000","WHOLE HIDES AND SKINS ,WGT PER SKIN DRIED<8KG,D.SALTED <10KG FRESH/WET<16K","Italy","","","316486.05","13906406.84","1583025.81"
"2006","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","Malaysia","","","137087.5","13803053.59","1571260.67"
"2006","52030000","Cotton, carded or combed","China","","","1424639.0","13631856.42","1551772.56"
"2006","07020000","Tomatoes fresh or chilled","Djibouti","","","5551970.0","13597108.14","1547817.02"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","Pakistan","","","3744155.0","13286473.34","1512456.13"
"2006","12074000","Sesamum seeds","United States","","","2128220.0","12771602.5","1453846.18"
"2006","07031000","Onions and shallots, fresh or chilled","Djibouti","","","6341778.0","12275221.0","1397340.95"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Arab Emirates","","","649080.0","11927249.8","1357729.89"
"2006","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","United Arab Emirates","","","706968.0","11629044.21","1323783.88"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Finland","","","504000.0","11622673.37","1323058.66"
"2006","06031000","Fresh cut flowers and buds","United Kingdom","8772761.0","No.","268080.5","11577285.84","1317892.0"
"2006","09101000","Ginger","Sudan","","","1466550.0","11539145.13","1313550.28"
"2006","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Malaysia","","","123052.0","11449266.05","1303318.96"
"2006","06021000","UNROOTED CUTTINGS AND SLIPS","United States","19643940.0","No.","24988.0","11348907.49","1291894.71"
"2006","41041100","TANNED/CRUST HIDES&SKINS OF BOVINE..IN THE WET STATE...FULL GRAINS,UNSPLIT","Hong Kong","","","1199604.0","11186337.32","1273388.66"
"2006","10089000","Other cereal, nes","United Arab Emirates","","","2078605.0","11085956.75","1261961.91"
"2006","84311000","Parts of machinery of 84.25","China","","","58330.0","10965986.85","1248305.22"
"2006","10089000","Other cereal, nes","Israel","","","3014366.82","10756915.6","1224505.74"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Israel","","","564000.0","10472543.54","1192134.45"
"2006","09101000","Ginger","Yemen","","","1617712.4","10419315.32","1186075.26"
"2006","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","United Arab Emirates","6311.0","No.","1382690.0","9554786.0","1087662.19"
"2006","52030000","Cotton, carded or combed","Taiwan, Province of China","","","1058000.0","9411891.53","1071395.9"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","Morocco","","","2370456.0","9385524.75","1068394.45"
"2006","41012000","WHOLE HIDES AND SKINS ,WGT PER SKIN DRIED<8KG,D.SALTED <10KG FRESH/WET<16K","China","","","321911.25","9354558.6","1064869.44"
"2006","07132000","Dried chickpeas, shelled","India","","","2318448.0","9348156.85","1064140.7"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Norway","","","376800.0","9282101.26","1056621.31"
"2006","07102900","Leguminous vegetables, shelled or unshelled, frozen, nes","United Arab Emirates","","","1597089.0","8859443.17","1008508.33"
"2006","17031000","Cane molasses resulting from the extraction or refining of sugar","Italy","","","4000000.0","8775100.0","998907.19"
"2006","12079900","Other oil seeds and oleaginous fruits, nes","Djibouti","","","1490913.0","8473733.51","964601.35"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Yemen","","","422550.0","8345628.31","950018.59"
"2006","12074000","Sesamum seeds","Iceland","","","1013715.24","8117145.4","924009.4"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Taiwan, Province of China","","","456000.0","8035317.92","914694.63"
"2006","12074000","Sesamum seeds","Korea, Democratic People's Rep.","","","1216000.0","8001950.32","910896.25"
"2006","41041100","TANNED/CRUST HIDES&SKINS OF BOVINE..IN THE WET STATE...FULL GRAINS,UNSPLIT","Italy","","","535378.0","7966885.24","906904.65"
"2006","01029000","LIVE BOVINE ANIMALS, OTHER THAN PURE-BRED BREEDING","Djibouti","5866.0","No.","1145636.0","7943464.36","904238.55"
"2006","41019000","OTHER, RAW HIDES ,INCLUDING BUTTS,BENDS AND BELLIES","China","","","909362.0","7845365.75","893071.56"
"2006","06031000","Fresh cut flowers and buds","Israel","7293960.0","No.","194397.5","7732099.28","880177.95"
"2006","12074000","Sesamum seeds","Singapore","","","1176404.0","7654979.6","871399.09"
"2006","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","Tunisia","","","408000.0","7494962.19","853183.62"
"2006","41041100","TANNED/CRUST HIDES&SKINS OF BOVINE..IN THE WET STATE...FULL GRAINS,UNSPLIT","China","","","706051.5","7389969.68","841231.88"
"2006","02041000","Fresh or chilled lamb carcasses and half carcasses","Egypt","","","316079.0","7375793.09","839618.1"
"2006","01061100","MAMMALS :PRIMATES","Egypt","1845.0","No.","856945.0","7361142.25","837950.33"
"2006","52030000","Cotton, carded or combed","Switzerland","","","777386.0","7286221.71","829421.8"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","2062945.0","7190160.35","818486.73"
"2006","01061900","OTHER MAMMALS OTHER THANS THOSE OF 0106.1100 AND 0106.1200","United Arab Emirates","2436.0","No.","1128766.67","7080867.71","806045.48"
"2006","12074000","Sesamum seeds","Korea, Republic of","","","777000.0","7068176.97","804600.84"
"2006","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Japan","","","8052.32","7056627.9","803286.16"
"2006","52030000","Cotton, carded or combed","India","","","739473.0","7023912.48","799562.02"
"2006","13019000","NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)","China","","","1065160.0","7011489.51","798147.86"
"2006","01061100","MAMMALS :PRIMATES","Djibouti","5275.0","No.","2562000.0","6953292.3","791523.02"
"2006","09012200","Roasted, decaffeinated coffee","Sudan","","","289260.0","6873528.78","782443.2"
"2006","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","United States","","","13289.85","6792232.83","773188.93"
"2006","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","Thailand","","","81977.0","6684341.92","760907.25"
"2006","07132000","Dried chickpeas, shelled","Singapore","","","1483992.0","6590419.84","750215.7"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","United Arab Emirates","","","2045522.0","6567623.88","747620.74"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Greece","","","324240.0","6146714.37","699706.81"
"2006","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","China","","","9515.55","6090883.33","693351.32"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","Netherlands","","","1907426.0","6086831.87","692890.12"
"2006","41022100","Pickled skins of sheep or lambs, without wool, not tanned","Turkey","","","66544.0","5927994.2","674808.95"
"2006","63039100","Curtains and interior blinds; curtain or bed valances of cotton","Germany","","","170211.23","5715038.57","650567.3"
"2006","07131000","Dried peas, shelled","Pakistan","","","1110000.0","5712521.78","650280.8"
"2006","08051000","Oranges, fresh or dried","Djibouti","","","2138425.0","5473239.34","623042.26"
"2006","41019000","OTHER, RAW HIDES ,INCLUDING BUTTS,BENDS AND BELLIES","Italy","","","397246.0","5444947.2","619821.64"
"2006","41062100","TANNED/CRUST SKINS OF GOATS/KIDS ..IN THE WET STATE...(WET-BLUE)","Hong Kong","","","249484.0","5356430.05","609745.36"
"2006","41051000","TANNED/CRUST SKINS OF SHEEP/LAMPS ...IN THE WET STATE...(WET-BLUE)","Japan","","","42713.0","5347081.68","608681.19"
"2006","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Poland","","","270000.0","5207515.38","592793.76"
"2006","52030000","Cotton, carded or combed","Swaziland","","","551561.0","5064362.42","576498.05"
"2006","76020000","Aluminium waste and scrap","United Arab Emirates","","","950530.0","4887113.6","556321.06"
"2006","01019000","OTHER LIVE HORSES,ASSES,MULES,AND HINNIES(EXCLUDING 0101.1000):NES","Sudan","3992.0","No.","890000.0","4866939.46","554024.55"
"2006","07133300","Dried kidney beans, incl. white pea beans, shelled","Germany","","","1323432.0","4846338.99","551679.51"
"2006","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","France","","","5588.75","4683754.67","533171.84"
