"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2013","01","1000 100","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Switzerland","","","1207.6","1092.85","814591502.29","43329104.75423","0.0","0.0"
"2013","01","1000 100","12074000","Sesamum seeds","China","","","13652520.6","13625239.0","423256259.55","22513511.0744092","0.0","0.0"
"2013","01","1071 100","07099000","Other vegetables, fresh or chilled, nes","Somalia","","","3753674.0","3263340.65","307933952.27","16379378.4219233","0.0","0.0"
"2013","01","1071 100","06031100","--Roses","Netherlands","96333118.0","","2992133.73","2626030.36","198080761.51","10536154.6752411","0.0","0.0"
"2013","01","1000 100","12074000","Sesamum seeds","Israel","","","4057355.5","4049225.0","124996553.94","6648717.5036303","0.0","0.0"
"2013","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1508997.25","1484750.0","115329095.7","6134493.73673544","0.0","0.0"
"2013","01","1000 100","12074000","Sesamum seeds","Turkey","","","3868853.02","3861073.13","114552787.05","6093200.94308009","0.0","0.0"
"2013","01","1071 100","01029010","---OX","Somalia","8659.0","UN","3028550.0","3028550.0","79737723.9","4241345.73220355","0.0","0.0"
"2013","01","1071 100","07099000","Other vegetables, fresh or chilled, nes","Djibouti","","","506514.0","482383.62","67080920.6","3568115.09513247","0.0","0.0"
"2013","01","1000 100","07132000","Dried chickpeas, shelled","Pakistan","","","5819550.0","5807934.0","63832594.33","3395332.70195371","0.0","0.0"
"2013","01","1071 100","01061910","---Camels","Egypt","4381.0","UN","2277746.64","2277746.64","63504676.04","3377890.33249823","0.0","0.0"
"2013","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","666034.0","660338.0","60491847.7","3217634.35832788","0.0","0.0"
"2013","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","945278.0","933600.0","59241030.12","3151101.86222414","0.0","0.0"
"2013","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","988032.0","979200.0","51640923.26","2746843.00934569","0.0","0.0"
"2013","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","629506.0","622800.0","46910768.31","2495240.36095553","0.0","0.0"
"2013","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","773120.0","768000.0","44648993.17","2374933.8125861","0.0","0.0"
"2013","01","1000 100","12021000","Ground-nuts in shell, not roasted or otherwise cooked","Viet Nam","","","1827648.0","1824000.0","38925103.73","2070473.22780198","0.0","0.0"
"2013","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","396094.0","391200.0","34321759.64","1825615.80204361","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Pakistan","","","3005904.0","2999904.0","32518324.08","1729688.88888889","0.0","0.0"
"2013","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","China","","","42942.1","42506.7","29957445.69","1593472.67780491","0.0","0.0"
"2013","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","311308.0","309369.0","29602676.04","1574602.05211674","0.0","0.0"
"2013","01","1000 100","01029010","---OX","Sudan","3909.0","UN","859050.0","859050.0","28758192.08","1529682.93147377","0.0","0.0"
"2013","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","447165.0","441600.0","27657441.27","1471132.66791134","0.0","0.0"
"2013","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","22350556.0","UN","84479.0","61054.0","26708219.64","1420642.42424242","0.0","0.0"
"2013","01","1000 100","62082900","WOMEN'S OR GIRLS' NIGHTDRESSES AND PYJAMAS OF TEXTILE MATERIALS, NES","Germany","150762.0","UN","65585.0","61337.5","25745438.44","1369430.93068654","0.0","0.0"
"2013","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","210000.0","210000.0","23455998.77","1247652.8725911","0.0","0.0"
"2013","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","401940.0","396000.0","22068489.6","1173849.58590646","0.0","0.0"
"2013","01","1000 101","12074000","Sesamum seeds","China","","","761824.0","760000.0","21576733.45","1147692.48301871","0.0","0.0"
"2013","01","1071 100","07019000","Other potatoes, fresh or chilled","Somalia","","","3857582.0","3812192.0","20542464.81","1092678.48628465","0.0","0.0"
"2013","01","1000 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","2152032.9","2144000.0","20186546.02","1073746.73645353","0.0","0.0"
"2013","01","1000 100","12074000","Sesamum seeds","Jordan","","","673359.2","672000.0","20148738.11","1071735.68810804","0.0","0.0"
"2013","01","1071 100","12074000","Sesamum seeds","China","","","647292.0","646000.0","20103604.7","1069334.98757985","0.0","0.0"
"2013","01","1000 100","64039900","FOOTWEAR WITH RUBBER... SOLES, LEATHER UPPERS, NOT COVERING THE ANKLE","United States","108661.0","2UN","101787.5","67471.0","19975941.78","1062544.44284871","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","1450569.8","1447692.0","19542151.91","1039470.6363264","0.0","0.0"
"2013","01","1000 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","55060.0","53514.0","19180404.46","1020228.85303802","0.0","0.0"
"2013","01","1071 100","07082000","Beans, fresh or chilled","Netherlands","","","1060566.0","887133.02","17327374.27","921663.941681161","0.0","0.0"
"2013","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","199950.0","198000.0","17011214.67","904847.031132813","0.0","0.0"
"2013","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Indonesia","","","942360.0","940000.0","16975876.63","902967.35815235","0.0","0.0"
"2013","01","1000 100","09101000","Ginger","Sudan","","","962970.0","960700.0","16361097.91","870266.536348211","0.0","0.0"
"2013","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","41845797.0","UN","57538.0","47734.0","16226298.99","863096.419167983","0.0","0.0"
"2013","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","372158.6","368520.0","15969196.14","849420.808399955","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Italy","","","1040021.6","1037862.0","15491928.1","824034.345561992","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Turkey","","","1174344.0","1172000.0","15368524.8","817470.375157579","0.0","0.0"
"2013","01","1000 101","12074000","Sesamum seeds","Japan","","","495185.6","494000.0","15210898.74","809086.05486141","0.0","0.0"
"2013","01","1071 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","1516719.6","1509800.0","14201005.63","755368.621975415","0.0","0.0"
"2013","01","1000 100","07099000","Other vegetables, fresh or chilled, nes","United Kingdom","","","32410.99","25511.7","14157247.66","753041.082760198","0.0","0.0"
"2013","01","1071 100","12074000","Sesamum seeds","Turkey","","","456912.0","456000.0","14107516.62","750395.828745592","0.0","0.0"
"2013","01","1000 100","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","Hong Kong","","","41354.5","40315.5","14090006.52","749464.445401886","0.0","0.0"
"2013","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Thailand","","","11292.0","10865.5","13781191.14","733038.182775624","0.0","0.0"
"2013","01","1000 100","12079900","Other oil seeds and oleaginous fruits, nes","United States","","","1016006.0","1013978.0","13663630.47","726784.988909633","0.0","0.0"
"2013","01","1000 100","12010000","Soya beans","Malaysia","","","1383762.0","1381000.0","13328541.72","708961.214036096","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Russian Federation","","","997237.59","995236.0","13143055.49","699094.977686289","0.0","0.0"
"2013","01","1071 100","01029010","---OX","Djibouti","1202.0","UN","427130.0","427130.0","13093637.38","696466.368795911","0.0","0.0"
"2013","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","150675.0","148800.0","12411548.02","660185.212844613","0.0","0.0"
"2013","01","1000 100","09041100","Dried pepper (excl. crushed or ground)","Sudan","","","334787.8","334180.0","12383251.69","658680.096914378","0.0","0.0"
"2013","01","1071 100","06031900","--Other cut flowers","Netherlands","","","192421.75","169331.98","12263502.02","652310.467497513","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Kenya","","","1479344.0","1477970.0","11982724.94","637375.59587449","0.0","0.0"
"2013","01","1000 100","12010000","Soya beans","Indonesia","","","1162320.0","1160000.0","11965377.21","636452.849186972","0.0","0.0"
"2013","01","1000 100","62071100","MEN'S OR BOYS' UNDERPANTS AND BRIEFS OF COTTON","Germany","132292.0","UN","24954.0","24954.0","11747772.21","624878.176711826","0.0","0.0"
"2013","01","1000 101","52051100","Uncombed single cotton yarn, with >=85% cotton, nprs, <=14mn","China","","","254947.4","248187.8","11375717.95","605088.161765097","0.0","0.0"
"2013","01","1000 101","12074000","Sesamum seeds","Turkey","","","380912.0","380000.0","10617946.79","564781.399567024","0.0","0.0"
"2013","01","1000 101","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","194400.0","192000.0","10383554.11","552313.770139521","0.0","0.0"
"2013","01","1071 100","01041000","LIVE SHEEP","Saudi Arabia","8600.0","UN","223000.0","223000.0","9766800.8","519507.917511077","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","684044.0","682586.0","9428237.89","501499.347875809","0.0","0.0"
"2013","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","South Africa","","","778232.0","776678.0","9375999.21","498720.709464311","0.0","0.0"
"2013","01","1071 100","01041000","LIVE SHEEP","United Arab Emirates","10000.0","UN","300000.0","300000.0","9196283.15","489161.395418109","0.0","0.0"
"2013","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","5802495.0","UN","26224.0","19668.0","9128683.05","485565.664544338","0.0","0.0"
