"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2016","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","India","","","721440.0","720000.0","17608457.64","802456.234277589","0.0","0.0"
"2016","01","1000 101","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","365400.0","360000.0","16893993.6","769896.532866674","0.0","0.0"
"2016","01","1000 101","12074090","--OTHER","China","","","876097.6","874000.0","16631640.5","757940.523715775","0.0","0.0"
"2016","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","155568.0","153600.0","16398243.28","747304.097852638","0.0","0.0"
"2016","01","1000 100","07133900","Dried beans, shelled, nes","Indonesia","","","622336.0","620000.0","16190256.1","737825.663531299","0.0","0.0"
"2016","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","194416.0","192000.0","16046950.38","731294.90593897","0.0","0.0"
"2016","01","3052 505","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","China","45927.0","2UN","34387.4","19322.63","16023444.74","730223.702103613","0.0","0.0"
"2016","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","213872.0","211200.0","15760585.26","718244.616099748","0.0","0.0"
"2016","01","1071 100","06031100","--Roses","Saudi Arabia","","","212327.0","186938.34","15425087.23","702955.231233366","0.0","0.0"
"2016","01","1000 100","12019000","-OTHER","India","","","1653300.0","1650000.0","14999934.56","683580.086769478","0.0","0.0"
"2016","01","1000 100","07133900","Dried beans, shelled, nes","India","","","601200.0","600000.0","14539820.4","662611.670130154","0.0","0.0"
"2016","01","1071 100","01061300","--CAMELS & OTHER CAMELIDS (CAMELIDAE)","Egypt","742.0","UN","333900.0","333900.0","14357198.47","654289.18617157","0.0","0.0"
"2016","01","1000 100","12074090","--OTHER","United States","","","707434.8","706000.0","13509342.08","615650.501294251","0.0","0.0"
"2016","01","1071 100","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","1442880.0","1440000.0","13200105.6","601557.913157607","0.0","0.0"
"2016","01","3052 505","61152900","--Other panty hose and tights: of other textile materials","Germany","","","43238.89","39707.75","12984476.11","591731.201921324","0.0","0.0"
"2016","01","1000 100","07132000","Dried chickpeas, shelled","Pakistan","","","745488.0","744000.0","12669568.94","577380.187939772","0.0","0.0"
"2016","01","1000 100","52052200","Combed single cotton yarn, with >=85% cotton, nprs, >14mn but <=43mn","Turkey","","","252101.56","246484.95","12478201.39","568659.146797185","0.0","0.0"
"2016","01","1000 100","12074090","--OTHER","Canada","","","609175.9","607960.0","12457492.26","567715.386087717","0.0","0.0"
"2016","01","3052 505","62063000","WOMEN'S OR GIRLS' BLOUSES, SHIRTS, ETC, OF COTTON.","Germany","115392.0","UN","48199.0","44325.0","12150544.12","553727.08264975","0.0","0.0"
"2016","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Belgium","11642578.0","UN","33137.0","30621.82","12060745.35","549634.754730395","0.0","0.0"
"2016","01","1071 100","01041000","LIVE SHEEP","Saudi Arabia","7983.0","UN","222987.0","222987.0","11933901.95","543854.221353312","0.0","0.0"
"2016","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Thailand","","","8673.0","8360.0","11682440.29","532394.559134493","0.0","0.0"
"2016","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","116192.0","115200.0","11222345.2","511427.011557111","0.0","0.0"
"2016","01","1071 100","25232900","--other","Djibouti","","","4942895.0","4920000.0","11221977.55","511410.25693609","0.0","0.0"
"2016","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Russian Federation","","","794074.0","792520.0","10849900.95","494453.905993656","0.0","0.0"
"2016","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Jordan","","","110700.0","108000.0","10714129.56","488266.504429618","0.0","0.0"
"2016","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Hong Kong","","","17129.67","16153.95","10489808.61","478043.704199934","0.0","0.0"
"2016","01","1000 101","30023000","-Vaccines for veterinary medicine","Niger","19350000.0","LTR","14025.0","14017.0","9968555.54","454289.052645011","0.0","0.0"
"2016","01","1000 100","12079990","--OTHER","United Kingdom","","","468121.4","467000.0","9676203.95","440965.946170112","0.0","0.0"
"2016","01","1071 100","06031100","--Roses","Norway","","","131967.0","115190.96","9657016.53","440091.533140107","0.0","0.0"
"2016","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","175008.0","172800.0","9553886.85","435391.686262715","0.0","0.0"
"2016","01","1000 100","01022910","---OX","Djibouti","707.0","UN","228835.0","228835.0","9029686.15","411502.704710343","0.0","0.0"
"2016","01","1071 100","07020000","Tomatoes fresh or chilled","Somalia","","","1396391.0","1163624.0","8855557.1","403567.260016771","0.0","0.0"
"2016","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","10215464.0","UN","46395.0","41198.0","8809521.82","401469.330817748","0.0","0.0"
"2016","01","1000 100","74082900","--Other","Turkey","","","102270.0","100200.0","8694964.32","396248.692989172","0.0","0.0"
"2016","01","1000 100","41120000","LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..","Italy","","","11221.0","10866.0","8377828.92","381796.133654162","0.0","0.0"
"2016","01","1000 100","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","Kenya","69696.0","2UN","50400.0","49200.0","8279974.58","377336.695650589","0.0","0.0"
"2016","01","1000 100","12074090","--OTHER","Japan","","","380760.0","380000.0","8231185.13","375113.25285282","0.0","0.0"
