"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2009","01","1000 100","71081300","Semi-manufactured gold (incl. gold plated with platinum), non-monetary","Switzerland","","","807.3","714.77","145354394.75","12242535.0798878","0.0","0.0"
"2009","01","1071 100","07099020","---Fresh chat","Somalia","","","2083854.0","1818412.9","90961715.94","7661288.81233734","0.0","0.0"
"2009","01","1000 100","12074000","Sesamum seeds","China","","","6663877.6","6650000.0","85860397.43","7231628.11360325","0.0","0.0"
"2009","01","1071 100","06031100","--Roses","Netherlands","55510795.0","","1995327.5","1815657.5","76748769.39","6464197.40669929","0.0","0.0"
"2009","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1281500.0","1260000.0","39008906.91","3285541.60398892","0.0","0.0"
"2009","01","1000 100","12074000","Sesamum seeds","Korea, Republic of","","","2803790.0","2795000.0","38714410.68","3260737.53505883","0.0","0.0"
"2009","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","911670.0","900000.0","33005962.3","2779941.06747298","0.0","0.0"
"2009","01","1071 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","4940466.6","4827200.0","31169784.43","2625288.2134946","0.0","0.0"
"2009","01","1071 100","12074000","Sesamum seeds","Saudi Arabia","","","2190380.0","2186000.0","30389270.79","2559549.1236345","0.0","0.0"
"2009","01","1071 101","17011100","Raw cane sugar, in solid form","United Kingdom","","","4556629.0","4543000.0","29674918.87","2499382.53248996","0.0","0.0"
"2009","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","1377638.8","1363140.0","28641360.03","2412330.60414894","0.0","0.0"
"2009","01","1000 100","12074000","Sesamum seeds","Israel","","","1996143.24","1992244.0","26084813.69","2197004.4125698","0.0","0.0"
"2009","01","1071 100","07099020","---Fresh chat","Djibouti","","","333794.15","317885.69","24431803.2","2057778.90827009","0.0","0.0"
"2009","01","1000 100","12074000","Sesamum seeds","Saudi Arabia","","","1656815.0","1652925.6","22043324.56","1856608.28946593","0.0","0.0"
"2009","01","1071 100","12074000","Sesamum seeds","China","","","1617606.8","1614354.0","21425361.85","1804560.12010545","0.0","0.0"
"2009","01","1000 100","12074000","Sesamum seeds","Egypt","","","1637268.0","1634000.0","21170203.9","1783069.3343665","0.0","0.0"
"2009","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","877500.0","864000.0","20957241.48","1765132.48490259","0.0","0.0"
"2009","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","697789.0","688800.0","20191381.85","1700627.63520286","0.0","0.0"
"2009","01","1000 100","12074000","Sesamum seeds","Turkey","","","1542078.0","1539000.0","19328115.19","1627918.63740114","0.0","0.0"
